tconst,primaryTitle,startYear
tt0053952,The House in Marsh Road,1960
tt0053953,"I Love, You Love",1961
tt0053954,Irumputhirai,1960
tt0053957,It Started in Naples,1960
tt0053958,It Takes a Thief,1960
tt0053959,L'Italia non è un paese povero,1960
tt0053960,The Lost Pencil,1960
tt0053964,The Love Game,1960
tt0053965,Jis Desh Men Ganga Behti Hai,1960
tt0053967,The Young One,1960
tt0053968,The Guns of Juana Gallo,1961
tt0053971,Judge and Juvenile,1960
tt0053972,Juke Box Racket,1960
tt0053975,The Young Sinner,1960
tt0053976,The Virgin Spring,1960
tt0053977,Jungle Cat,1960
tt0053979,Young People,1961
tt0053980,Kala Bazar,1960
tt0053982,Kala Aadmi,1960
tt0053983,Kamikaze,1960
tt0053985,Kanoon,1960
tt0053987,The Steamroller and the Violin,1961
tt0053989,Dry Lake,1960
tt0053990,Kein Engel ist so rein,1960
tt0053992,The Sleeping Beast Within,1960
tt0053993,Key Witness,1960
tt0053994,Kidnapped,1960
tt0053996,The Fair,1960
tt0053998,Scars of Honor,1960
tt0053999,Kohinoor,1960
tt0054000,Kolorowe ponczochy,1960
tt0054001,Inspector Palmu's Error,1960
tt0054003,The Meek One,1960
tt0054004,Black Cross,1960
tt0054005,Kshudhita Pashan,1960
tt0054006,The Gambling Samurai,1960
tt0054007,The High Life,1960
tt0054008,Fighting Delinquents,1960
tt0054011,Két emelet boldogság,1960
tt0054013,The Thief of Baghdad,1961
tt0054014,Lampenfieber,1960
tt0054016,The Last Voyage,1960
tt0054021,Let No Man Write My Epitaph,1960
tt0054022,Let's Make Love,1960
tt0054023,Letto a tre piazze,1960
tt0054025,The Last Witness,1960
tt0054026,Leute mit Flügeln,1960
tt0054027,Sweetheart of the Gods,1960
tt0054029,Skywatch,1960
tt0054033,The Little Shop of Horrors,1960
tt0054034,Third Sister Liu,1960
tt0054037,Jungle Fighters,1961
tt0054039,It Happened in '43,1960
tt0054040,Légy jó mindhalálig,1960
tt0054042,Macario,1960
tt0054047,The Magnificent Seven,1960
tt0054049,Make Mine Mink,1960
tt0054050,The Making of the President 1960,1963
tt0054051,"Makkers, staakt uw wild geraas",1960
tt0054052,Mal drunter - mal drüber,1960
tt0054053,Malaga,1960
tt0054055,Male dramaty,1960
tt0054058,Man on a String,1960
tt0054059,Manzil,1960
tt0054061,Maribel and the Strange Family,1960
tt0054064,The Marriage-Go-Round,1961
tt0054065,The Magic Weaver,1960
tt0054067,Black Sunday,1960
tt0054068,Love and Larceny,1960
tt0054069,Les mauvais coups,1961
tt0054071,Me faire ça à moi,1961
tt0054073,The Cloud-Capped Star,1960
tt0054074,My School Chum,1960
tt0054079,Mi calle,1960
tt0054083,Michman Panin,1960
tt0054084,Midnight Lace,1960
tt0054085,Miejsce na ziemi,1960
tt0054090,The Magnificent Rogue,1960
tt0054091,Moderato cantabile,1960
tt0054092,Der Moorhund,1960
tt0054095,The Mountain Road,1960
tt0054098,Mughal-E-Azam,1960
tt0054099,Mill of the Stone Women,1960
tt0054102,"Murder, Inc.",1960
tt0054105,Musume tsuma haha,1960
tt0054106,Mother Courage and Her Children,1961
tt0054107,Killers on Parade,1961
tt0054112,Natchez Trace,1960
tt0054115,Never Let Go,1960
tt0054116,Never Take Candy from A Stranger,1960
tt0054119,Innocent Sorcerers,1960
tt0054120,The Night Fighters,1960
tt0054121,Night Train for Inverness,1960
tt0054122,Night and Fog in Japan,1960
tt0054123,Nikt nie wola,1960
tt0054124,A False Student,1960
tt0054127,North to Alaska,1960
tt0054128,Young Noszty and Mary Toth,1960
tt0054130,La Notte,1961
tt0054135,Ocean's 11,1960
tt0054136,"O, diese Bayern!",1960
tt0054139,Omringet,1960
tt0054140,One Does Not Bury Sunday,1960
tt0054141,"Once More, with Feeling!",1960
tt0054142,One Foot in Hell,1960
tt0054143,Koi no katamichi kippu,1960
tt0054144,When a Woman Ascends the Stairs,1960
tt0054146,Opettajatar seikkailee,1960
tt0054149,"Be Careful, Grandma!",1961
tt0054151,Brother,1960
tt0054153,The Bear,1960
tt0054156,Paris Belongs to Us,1961
tt0054157,Parthiban Kanavu,1960
tt0054159,Passenger,1963
tt0054161,Tomorrow Is My Turn,1960
tt0054162,La patota,1960
tt0054164,Pay or Die!,1960
tt0054166,A Mother's Sin,1962
tt0054167,Peeping Tom,1960
tt0054171,Pension Schöller,1960
tt0054175,Pervoye svidaniye,1960
tt0054177,Le Petit Soldat,1963
tt0054180,I piaceri dello scapolo,1960
tt0054181,Piccadilly Third Stop,1960
tt0054183,Pikovaya dama,1960
tt0054184,Le pillole di Ercole,1960
tt0054188,Please Don't Eat the Daisies,1960
tt0054189,Purple Noon,1960
tt0054190,The Plunderers,1960
tt0054191,Po xiao shi fen,1968
tt0054195,Pollyanna,1960
tt0054197,Portrait in Black,1960
tt0054198,Never on Sunday,1960
tt0054199,The Story of the Flaming Years,1961
tt0054201,Powrót,1960
tt0054202,Prace,1960
tt0054205,Primary,1960
tt0054209,Private Property,1960
tt0054210,Shadows of Adultery,1961
tt0054211,The Proper Time,1962
tt0054212,Prostaya istoriya,1960
tt0054214,El príncipe encadenado,1960
tt0054215,Psycho,1960
tt0054219,The Pusher,1960
tt0054221,På en bänk i en park,1960
tt0054225,Girl with a Suitcase,1961
tt0054227,Raja-Saja,1960
tt0054228,Rangon alul,1960
tt0054229,Atomic War Bride,1960
tt0054230,The Rat Race,1960
tt0054232,Raymie,1960
tt0054236,Recourse in Grace,1960
tt0054238,Queen of the Tabarin Club,1960
tt0054242,The Passionate Thief,1960
tt0054243,The Rise and Fall of Legs Diamond,1960
tt0054244,The Risk,1960
tt0054247,The Wayside Pebble,1960
tt0054248,Rocco and His Brothers,1960
tt0054250,"Romeo, Julie a tma",1960
tt0054252,Lipstick,1960
tt0054253,Die rote Hand,1960
tt0054254,El rufián,1961
tt0054262,Sabine und die hundert Männer,1960
tt0054264,The Dance of Death,1960
tt0054265,Alakazam the Great,1960
tt0054268,Sararîman Chûshingura,1960
tt0054269,Saturday Night and Sunday Morning,1960
tt0054272,Brainwashed,1960
tt0054279,School for Scoundrels,1960
tt0054281,Das schwarze Schaf,1960
tt0054286,Seishun zankoku monogatari,1960
tt0054287,Sentenced for Life,1960
tt0054288,Sentencia contra una mujer,1960
tt0054292,Sergeant Rutledge,1960
tt0054293,Serge,1960
tt0054294,Setea,1960
tt0054295,Seven Thieves,1960
tt0054296,Seven Ways from Sundown,1960
tt0054297,The 7th Commandment,1961
tt0054302,Shriman Satyawadi,1960
tt0054303,Shumnyy den,1961
tt0054304,Blood Feud,1961
tt0054305,Siega verde,1961
tt0054306,The Siege of Sidney Street,1960
tt0054308,Signal Over the City,1960
tt0054309,Signori si nasce,1960
tt0054310,Sink the Bismarck!,1960
tt0054316,The Sound of Life,1961
tt0054318,Snowball,1960
tt0054320,Headquarters State Secret,1960
tt0054321,La sombra del Caudillo,1960
tt0054324,Song Without End,1960
tt0054325,Take Aim at the Police Van,1960
tt0054326,Sons and Lovers,1960
tt0054327,"Sooo nicht, meine Herren",1960
tt0054328,Under Ten Flags,1960
tt0054331,Spartacus,1960
tt0054337,The Haunted Castle,1960
tt0054341,Stephanie in Rio,1960
tt0054343,The Story of Ruth,1960
tt0054345,Strangers When We Meet,1960
tt0054350,Everything Goes Wrong,1960
tt0054353,The Sundowners,1960
tt0054354,Sunrise at Campobello,1960
tt0054357,Swiss Family Robinson,1960
tt0054358,Sword of Sherwood Forest,1960
tt0054359,Szatan z siódmej klasy,1960
tt0054361,Szklana góra,1960
tt0054362,"Sábado a la noche, cine",1960
tt0054363,Sólo para hombres,1960
tt0054366,The Sun's Burial,1960
tt0054367,Tall Story,1960
tt0054368,Tarzan the Magnificent,1960
tt0054371,"The 1,000 Eyes of Dr. Mabuse",1960
tt0054374,Wasteland,1960
tt0054377,Testament of Orpheus,1960
tt0054379,There Was a Crooked Man,1960
tt0054380,The 3rd Voice,1960
tt0054381,This Rebel Breed,1960
tt0054387,The Time Machine,1960
tt0054389,Shoot the Piano Player,1960
tt0054390,Toby Tyler or Ten Weeks with a Circus,1960
tt0054395,Dead Eyes of London,1961
tt0054396,"Totò, Fabrizi e i giovani d'oggi",1960
tt0054401,Night Train to Milan,1962
tt0054403,The Trials of Oscar Wilde,1960
tt0054407,Le Trou,1960
tt0054408,Trouble with Eve,1960
tt0054411,Leaded Sky over Borsk,1961
tt0054412,Tunes of Glory,1960
tt0054413,Everybody Go Home!,1960
tt0054416,The Two Faces of Dr. Jekyll,1960
tt0054417,Two Way Stretch,1960
tt0054425,Taxi for Tobruk,1961
tt0054426,The Long Absence,1961
tt0054428,The Unforgiven,1960
tt0054430,Usne Kaha Tha,1960
tt0054431,Uta andon,1960
tt0054434,El vagabundo y la estrella,1960
tt0054436,Revenge of the Barbarians,1960
tt0054438,The Ballet of Othello,1960
tt0054441,Les vieux de la vieille,1960
tt0054442,Il vigile,1960
tt0054443,Village of the Damned,1960
tt0054444,El violetero,1960
tt0054446,Visit to a Small Planet,1960
tt0054447,Garibaldi,1961
tt0054449,Voskreseniye,1960
tt0054450,Vsyo nachinayetsya s dorogi,1960
tt0054451,Higher Principle,1960
tt0054452,La Vérité,1960
tt0054453,The Wackiest Ship in the Army,1960
tt0054454,The True Jacob,1960
tt0054455,Wake Me When It's Over,1960
tt0054456,Walet pikowy,1960
tt0054457,Walk Like a Dragon,1960
tt0054459,The Walking Target,1960
tt0054460,The Bad Sleep Well,1960
tt0054468,When Comedy Was King,1960
tt0054469,Where the Boys Are,1960
tt0054473,Who Was That Lady?,1960
tt0054476,Wild River,1960
tt0054478,"Willy, der Privatdetektiv",1960
tt0054479,We Cellar Children,1960
tt0054482,Jokyô,1960
tt0054483,The World of Suzie Wong,1960
tt0054485,One Room Tenants,1960
tt0054486,Empress Wu,1963
tt0054487,X-25 Reports,1960
tt0054488,The Lovelorn Geisha,1960
tt0054492,The M.P. Case,1960
tt0054493,Telltales,1961
tt0054494,Zazie dans le Métro,1960
tt0054495,Bad Luck,1960
tt0054497,Zobaczymy sie w niedziele,1960
tt0054499,Die zornigen jungen Männer,1960
tt0054500,Shower,1961
tt0054504,"Kill Yourself, My Love",1961
tt0054505,Alfonso XII y María Cristina: ¿Dónde vas triste de ti?,1960
tt0054507,Un ángel tuvo la culpa,1960
tt0054584,"...und du, mein Schatz, bleibst hier",1961
tt0054586,On the Tiger's Back,1961
tt0054588,A fost prietenul meu,1963
tt0054589,A porte chiuse,1961
tt0054591,Aashiq,1962
tt0054594,The Absent Minded Professor,1961
tt0054599,Accattone,1961
