tconst,primaryTitle,startYear
tt0042509,The Glass Menagerie,1950
tt0042510,The Goldbergs,1950
tt0042513,Gone to Earth,1950
tt0042514,The Good Humor Man,1950
tt0042516,Gorod zazhigaet ogni,1958
tt0042519,O Grande Elias,1950
tt0042521,The Great Jewel Robber,1950
tt0042522,The Great Manhunt,1950
tt0042524,The Great Rupert,1950
tt0042526,Grounds for Marriage,1951
tt0042529,Guilty Bystander,1950
tt0042530,Gun Crazy,1950
tt0042531,The Gunfighter,1950
tt0042534,Gunman in the Streets,1950
tt0042535,Gunslingers,1950
tt0042539,Halls of Montezuma,1951
tt0042541,The Happiest Days of Your Life,1950
tt0042542,The Happy Years,1950
tt0042543,Harbor of Missing Men,1950
tt0042544,Harriet Craig,1950
tt0042546,Harvey,1950
tt0042556,Hills of Oklahoma,1950
tt0042559,Historia de una escalera,1950
tt0042560,Historien om Hjortholm,1950
tt0042564,Hochzeitsnacht im Paradies,1950
tt0042565,Hoedown,1950
tt0042566,The Law of the Jungle,1950
tt0042568,Holiday Rhythm,1950
tt0042574,La honradez de la cerradura,1950
tt0042577,Heat and Mud,1950
tt0042578,Hot Rod,1950
tt0042579,House by the River,1950
tt0042581,Joe Palooka in Humphrey Takes a Chance,1950
tt0042582,Hunt the Man Down,1950
tt0042585,Härmästä poikia kymmenen,1950
tt0042588,I Was a Shoplifter,1950
tt0042589,I'll Get By,1950
tt0042591,The Angry Street,1950
tt0042593,In a Lonely Place,1950
tt0042595,Indian Territory,1950
tt0042599,Man in the Dinghy,1950
tt0042602,The Iroquois Trail,1950
tt0042604,Conduct Report on Professor Ishinaka,1950
tt0042605,Los islas Marias,1951
tt0042608,It's a Small World,1950
tt0042609,The Jackie Robinson Story,1950
tt0042610,The Jackpot,1950
tt0042614,Es schlägt 13,1950
tt0042616,Joe Palooka Meets Humphrey,1950
tt0042619,Diary of a Country Priest,1951
tt0042621,"Juliette, or Key of Dreams",1951
tt0042622,Julius Caesar,1950
tt0042623,Die Jungen vom Kranichsee,1950
tt0042625,Justice Is Done,1950
tt0042626,Pirates,1951
tt0042627,Heart of Stone,1950
tt0042629,Kansas Raiders,1950
tt0042632,Kaunis Veera eli ballaadi Saimaalta,1950
tt0042634,Key to the City,1950
tt0042638,The Kid from Texas,1950
tt0042639,Kike wadatsumi no koe: Nippon senbotsu gakusei shuki,1950
tt0042641,Kill the Umpire,1950
tt0042643,The Killer That Stalked New York,1950
tt0042644,Kim,1950
tt0042646,King Solomon's Mines,1950
tt0042648,Kiss Tomorrow Goodbye,1950
tt0042649,Dr. Knock,1951
tt0042650,Kon-Tiki,1950
tt0042651,Wedding Ring,1950
tt0042658,Royal Children,1950
tt0042660,Különös házasság,1951
tt0042664,A Lady Without Passport,1950
tt0042665,Last Holiday,1950
tt0042667,Law of the Badlands,1951
tt0042668,Law of the Panhandle,1950
tt0042669,The Lawless,1950
tt0042674,Let's Dance,1950
tt0042676,Liebe auf Eis,1950
tt0042677,A Life of Her Own,1950
tt0042678,Lightning Guns,1950
tt0042683,Lockende Gefahr,1950
tt0042685,Lonely Heart Bandits,1950
tt0042686,The Lost Volcano,1950
tt0042687,Louisa,1950
tt0042688,Love That Brute,1950
tt0042692,Variety Lights,1950
tt0042693,Lucky Losers,1950
tt0042695,The Merry Wives of Windsor,1950
tt0042697,Ma and Pa Kettle Go to Town,1950
tt0042699,La loca de la casa,1950
tt0042700,Madeleine,1950
tt0042702,The Magnificent Yankee,1950
tt0042707,The Man Who Cheated Himself,1950
tt0042708,"Der Mann, der sich selber sucht",1950
tt0042711,La marca del zorrillo,1950
tt0042714,Marshal of Heldorado,1950
tt0042719,Mashaal,1950
tt0042723,While the City Sleeps,1950
tt0042726,Memorias de un mexicano,1950
tt0042727,The Men,1950
tt0042729,Three Sinners,1950
tt0042730,Mi querido capitán,1950
tt0042732,Military Academy with That Tenth Avenue Gang,1950
tt0042733,The Milkman,1950
tt0042735,The Miniver Story,1950
tt0042736,Miquette,1950
tt0042737,Miracles Only Happen Once,1951
tt0042742,Mister 880,1950
tt0042743,A Modern Marriage,1950
tt0042744,Montana,1950
tt0042746,El morocho del Abasto: La vida de Carlos Gardel,1950
tt0042748,Mosekongen,1950
tt0042752,Trio,1950
tt0042753,Mr. Music,1950
tt0042755,Mrs. O'Malley and Mr. Malone,1950
tt0042756,Muchachas de Uniforme,1951
tt0042757,The Mudlark,1950
tt0042758,La muerte enamorada,1951
tt0042760,Las mujeres de mi general,1951
tt0042761,Mule Train,1950
tt0042762,The Munekata Sisters,1950
tt0042763,Murder Without Crime,1950
tt0042765,Mussorgsky,1950
tt0042767,My Blue Heaven,1950
tt0042769,My Friend Irma Goes West,1950
tt0042771,Mystery Street,1950
tt0042774,Mädchen mit Beziehungen,1950
tt0042775,Nacha Regules,1950
tt0042778,The Bells of Nagasaki,1950
tt0042779,Nancy Goes to Rio,1950
tt0042780,Side Street Story,1950
tt0042782,The Nevadan,1950
tt0042783,Never Fear,1950
tt0042785,The New China,1951
tt0042786,The Next Voice You Hear...,1950
tt0042788,Night and the City,1950
tt0042790,No Sad Songs for Me,1950
tt0042791,No Trace,1950
tt0042792,No Way Out,1950
tt0042793,La noche del sábado,1950
tt0042794,Under the Olive Tree,1950
tt0042795,North of the Great Divide,1950
tt0042797,Nur eine Nacht,1950
tt0042800,Okhti Satuta,1950
tt0042803,Olivia,1951
tt0042804,The Young and the Damned,1950
tt0042807,Once a Thief,1950
tt0042808,One Too Many,1950
tt0042809,One Way Street,1950
tt0042810,Operation Disaster,1950
tt0042812,Operation X,1950
tt0042814,Ore wa yojinbo,1950
tt0042819,Our Very Own,1950
tt0042823,Outlaws of Texas,1950
tt0042824,Outrage,1950
tt0042825,The Outriders,1950
tt0042826,Outside the Wall,1950
tt0042830,Paid in Full,1950
tt0042832,Panic in the Streets,1950
tt0042835,Paul Temple's Triumph,1950
tt0042837,Peggy,1950
tt0042839,Peppino e Violetta,1951
tt0042841,Perfect Strangers,1950
tt0042842,Behind Closed Shutters,1951
tt0042844,The Petty Girl,1950
tt0042846,Pirates of the High Seas,1950
tt0042847,The Blue 9,1950
tt0042851,Pool of London,1951
tt0042853,By the False Door,1950
tt0042856,Prelude to Fame,1950
tt0042857,The Winner's Circle,1950
tt0042858,Pretty Baby,1950
tt0042859,Father's Dilemma,1950
tt0042862,Prämien auf den Tod,1950
tt0042865,Pygmy Island,1950
tt0042867,Quel fantasma di mio marito,1950
tt0042869,Quicksand,1950
tt0042875,Raiders of Tomahawk Creek,1950
tt0042876,Rashomon,1950
tt0042877,Der Rat der Götter,1950
tt0042881,The Redhead and the Cowboy,1951
tt0042883,The Reformer and the Redhead,1950
tt0042888,The King of the Neighborhood,1950
tt0042891,Rider from Tucson,1950
tt0042892,Riders of the Range,1950
tt0042893,Riding High,1950
tt0042894,Right Cross,1950
tt0042895,Rio Grande,1950
tt0042896,Rio Grande Patrol,1950
tt0042899,Rocky Mountain,1950
tt0042900,Rogue River,1951
tt0042905,Romanzo d'amore,1950
tt0042906,La Ronde,1950
tt0042907,Room to Let,1950
tt0042908,Rosauro Castro,1950
tt0042910,The Rossiter Case,1951
tt0042912,Rustlers on Horseback,1950
tt0042914,The Red Horses,1950
tt0042915,Saddle Tramp,1950
tt0042917,Salt Lake Raiders,1950
tt0042923,Without Leaving an Address,1951
tt0042927,The Savage Horde,1950
tt0042935,The Secret Fury,1950
tt0042947,September Affair,1950
tt0042949,Seven Days to Noon,1950
tt0042951,Shadow of the Eagle,1950
tt0042952,Shadow on the Wall,1950
tt0042953,Shakedown,1950
tt0042955,White Beast,1950
tt0042956,Short Grass,1950
tt0042957,The Showdown,1950
tt0042958,Scandal,1950
tt0042959,Zhukovsky,1950
tt0042960,Side Street,1950
tt0042961,Sideshow,1950
tt0042962,Siempre tuya,1952
tt0042963,Sierra,1950
tt0042964,Sierra Passage,1950
tt0042965,El siete machos,1951
tt0042967,Silver Raiders,1950
tt0042968,Simbad el Mareado,1950
tt0042970,Singing Guns,1950
tt0042976,The Sleeping City,1950
tt0042977,The Horsemen,1950
tt0042980,So Long at the Fair,1950
tt0042982,"So Young, So Bad",1950
tt0042983,Over the Waves,1950
